iter	RMSE
0	1481621.937
1	1445796.845
2	1411920.765
3	1378726.258
4	1347965.127
5	1321344.01
6	1296492.451
7	1270316.43
8	1243850.333
9	1219978.314
10	1198603.261
11	1178464.536
12	1158119.018
13	1138405.067
14	1118403.297
15	1102320.901
16	1084967.563
17	1068590.526
18	1053999.863
19	1038990.901
20	1026270.276
21	1011815.764
22	997682.5037
23	986047.6815
24	972634.3621
25	961393.3911
26	950023.874
27	940908.7001
28	930638.33
29	922536.4825
30	911698.6161
31	902942.5618
32	893888.4581
33	886367.7001
34	879515.2824
35	873215.2666
36	867199.1926
37	860072.8366
38	854993.4235
39	849147.0235
40	841703.8863
41	836141.473
42	831098.7934
43	825515.6074
44	820538.6111
45	815704.5647
46	811844.5699
47	809084.9223
48	804989.4407
49	801742.4533
50	798273.4032
51	794857.3534
52	791027.5967
53	788030.0388
54	784579.3752
55	781195.3837
56	778641.8346
57	775994.6164
58	772761.502
59	770609.6648
60	767398.7096
61	764447.3548
62	762724.9728
63	761109.5529
64	759347.1313
65	757043.5312
66	754884.7882
67	753163.2488
68	751840.484
69	750156.1955
70	748846.2632
71	747418.4672
72	744831.749
73	742917.865
74	740908.2888
75	739744.0391
76	736794.1457
77	735182.0699
78	732853.8465
79	730025.3435
80	727350.4281
81	725926.2855
82	723117.4929
83	721606.6809
84	720831.9337
85	718083.0498
86	715873.3879
87	713477.175
88	712125.978
89	709607.7565
90	708429.9286
91	706327.7463
92	703308.6975
93	701191.4478
94	700531.1769
95	698934.8179
96	698669.9219
97	696342.303
98	695695.2762
99	693852.6571
100	692810.5674
101	692244.9783
102	691265.2782
103	690057.6756
104	688516.2415
105	686838.0694
106	685191.5728
107	683898.3923
108	683007.4097
109	680335.5752
110	679256.8892
111	677723.537
112	677203.5809
113	674361.7969
114	673094.7158
115	672537.3413
116	671929.124
117	670349.951
118	668022.0423
119	666839.1106
120	666193.9608
121	664526.4984
122	664039.35
123	662785.4773
124	661308.1009
125	660266.9324
126	658682.7983
127	657472.9759
128	656466.4626
129	654180.1151
130	653330.5761
131	652369.9489
132	652293.5679
133	651757.4906
134	650867.2665
135	649787.5649
136	647371.3364
137	646437.0569
138	645084.8624
139	644095.3379
140	643776.1556
141	642902.1149
142	642049.3433
143	641012.4399
144	639412.1765
145	638814.4348
146	637415.0216
147	636491.2471
148	635645.3657
149	633784.224
150	633566.2523
151	632825.5663
152	631421.0949
153	630136.0944
154	629255.2555
155	628668.1695
156	627947.3468
157	627586.5331
158	626672.3213
159	626275.4497
160	625277.7779
161	624865.5993
162	624626.2726
163	623860.0486
164	622179.5775
