iter	Passed	Remaining
0	119	59681
1	121	30250
2	123	20385
3	124	15449
4	126	12490
5	127	10526
6	129	9105
7	130	8048
8	132	7224
9	134	6570
10	135	6033
11	137	5589
12	138	5206
13	140	4877
14	142	4594
15	143	4344
16	145	4124
17	146	3935
18	148	3760
19	150	3603
20	151	3459
21	153	3329
22	154	3210
23	156	3106
24	158	3006
25	160	2917
26	161	2825
27	162	2737
28	164	2664
29	165	2595
30	167	2530
31	168	2468
32	170	2411
33	171	2355
34	173	2304
35	174	2250
36	176	2208
37	178	2164
38	179	2122
39	181	2083
40	182	2045
41	184	2011
42	186	1977
43	187	1944
44	189	1912
45	190	1883
46	192	1855
47	193	1821
48	195	1795
49	196	1772
50	198	1748
51	200	1726
52	202	1703
53	203	1681
54	205	1661
55	207	1642
56	208	1623
57	210	1603
58	211	1584
59	213	1566
60	215	1549
61	216	1532
62	218	1517
63	220	1502
64	222	1486
65	223	1470
66	225	1457
67	227	1442
68	227	1423
69	229	1409
70	231	1396
71	232	1384
72	234	1372
73	236	1359
74	237	1345
75	238	1329
76	239	1317
77	241	1306
78	242	1294
79	244	1283
80	246	1273
81	247	1263
82	249	1252
83	251	1243
84	252	1233
85	254	1223
86	255	1214
87	257	1205
88	259	1196
89	260	1187
90	262	1178
91	263	1169
92	265	1161
93	267	1153
94	268	1144
95	270	1136
96	271	1126
97	272	1116
98	273	1107
99	275	1100
100	276	1093
101	278	1085
102	279	1078
103	281	1070
104	282	1063
105	283	1054
106	284	1046
107	286	1039
108	287	1032
109	289	1025
110	290	1018
111	291	1009
112	293	1003
113	294	997
114	296	991
115	297	985
116	299	980
117	301	975
118	302	969
119	304	965
120	306	959
121	308	954
122	309	948
123	310	941
124	311	935
125	313	930
126	314	924
127	316	920
128	318	914
129	319	910
130	321	905
131	323	900
132	323	893
133	325	888
134	326	883
135	328	879
136	329	874
137	332	872
138	334	868
139	336	864
140	337	859
141	339	854
142	340	850
143	342	845
144	343	840
145	344	834
146	345	830
147	347	826
148	349	822
149	350	818
150	352	814
151	353	809
152	355	806
153	357	802
154	358	798
155	360	794
156	361	790
157	363	787
158	365	783
159	366	779
160	367	774
161	368	769
162	369	764
163	371	760
164	372	756
165	374	752
166	375	749
167	377	745
168	379	742
169	380	738
170	382	734
171	383	731
172	385	727
173	386	724
174	388	720
175	389	717
176	391	714
177	393	710
178	394	706
179	395	702
180	396	698
181	397	693
182	398	690
183	400	687
184	401	684
185	403	680
186	404	677
187	405	673
188	406	669
189	408	666
190	409	663
191	411	659
192	412	656
193	414	653
194	415	650
195	417	647
196	418	644
197	420	640
198	421	636
199	422	634
200	424	631
201	425	628
202	427	625
203	429	622
204	430	619
205	431	615
206	432	612
207	434	609
208	436	607
209	437	604
210	439	601
211	440	597
212	441	594
213	442	591
214	443	588
215	445	585
216	446	581
217	447	578
218	448	576
219	450	572
220	451	569
221	452	566
222	453	563
223	454	559
224	455	556
225	456	553
226	458	551
227	459	547
228	460	544
229	462	542
230	463	540
231	465	537
232	466	534
233	467	531
234	469	529
235	471	526
236	472	523
237	472	520
238	474	517
239	475	514
240	476	512
241	477	509
242	479	506
243	480	504
244	481	501
245	482	498
246	484	495
247	484	492
248	485	489
249	486	486
250	487	484
251	489	481
252	490	478
253	491	475
254	492	472
255	493	470
256	495	468
257	496	466
258	497	463
259	498	460
260	500	458
261	502	456
262	503	454
263	504	451
264	505	448
265	506	445
266	507	443
267	509	440
268	511	438
269	511	436
270	513	433
271	514	431
272	515	428
273	517	426
274	518	424
275	519	421
276	520	419
277	522	417
278	523	415
279	525	412
280	526	410
281	527	408
282	529	406
283	530	403
284	531	401
285	533	399
286	535	397
287	536	395
288	537	392
289	538	390
290	540	388
291	542	386
292	543	383
293	544	381
294	545	379
295	547	377
296	548	375
297	550	372
298	551	370
299	552	368
300	554	366
301	555	364
302	557	362
303	559	360
304	561	358
305	562	356
306	563	354
307	564	352
308	566	350
309	567	348
310	569	346
311	570	344
312	572	342
313	574	340
314	575	337
315	576	335
316	577	333
317	579	331
318	580	329
319	582	327
320	583	325
321	585	323
322	586	321
323	588	319
324	589	317
325	590	315
326	592	313
327	593	311
328	595	309
329	596	307
330	597	304
331	598	303
332	600	301
333	601	299
334	602	296
335	603	294
336	605	292
337	607	290
338	608	289
339	609	286
340	610	284
341	611	282
342	613	280
343	614	278
344	615	276
345	616	274
346	618	272
347	619	270
348	621	268
349	622	266
350	623	264
351	624	262
352	626	260
353	627	258
354	628	256
355	630	254
356	631	252
357	632	250
358	633	248
359	634	246
360	635	244
361	636	242
362	638	240
363	639	238
364	640	236
365	641	235
366	643	233
367	645	231
368	646	229
369	647	227
370	648	225
371	650	223
372	652	222
373	653	220
374	655	218
375	657	216
376	658	214
377	660	213
378	662	211
379	663	209
380	665	207
381	666	205
382	667	203
383	668	202
384	670	200
385	671	198
386	673	196
387	675	194
388	676	193
389	677	191
390	679	189
391	680	187
392	681	185
393	683	183
394	684	182
395	685	180
396	687	178
397	688	176
398	690	174
399	691	172
400	692	170
401	693	169
402	695	167
403	696	165
404	698	163
405	699	161
406	700	160
407	702	158
408	703	156
409	705	154
410	706	152
411	707	151
412	709	149
413	711	147
414	712	145
415	713	144
416	714	142
417	716	140
418	718	138
419	718	136
420	720	135
421	722	133
422	723	131
423	725	130
424	726	128
425	728	126
426	729	124
427	731	123
428	732	121
429	733	119
430	734	117
431	736	115
432	737	114
433	738	112
434	739	110
435	741	108
436	742	107
437	744	105
438	745	103
439	746	101
440	748	100
441	749	98
442	751	96
443	753	95
444	755	93
445	756	91
446	757	89
447	758	88
448	760	86
449	762	84
450	763	82
451	764	81
452	765	79
453	767	77
454	769	76
455	770	74
456	771	72
457	772	70
458	774	69
459	776	67
460	778	65
461	779	64
462	780	62
463	782	60
464	783	58
465	784	57
466	785	55
467	787	53
468	788	52
469	790	50
470	792	48
471	794	47
472	795	45
473	796	43
474	798	42
475	799	40
476	801	38
477	803	36
478	804	35
479	806	33
480	808	31
481	809	30
482	811	28
483	813	26
484	814	25
485	815	23
486	817	21
487	818	20
488	820	18
489	822	16
490	823	15
491	824	13
492	826	11
493	828	10
494	829	8
495	830	6
496	831	5
497	833	3
498	835	1
499	836	0
